Year,Month,Day,Hour,Minute,Second,HYY_META.diffPAR
2016,01,11,01,00,00,0.008
2016,01,11,01,30,00,0.00267
2016,01,11,02,00,00,-0.00233
2016,01,11,02,30,00,0.00367
2016,01,11,03,00,00,0.00467
2016,01,11,03,30,00,0.00633
2016,01,11,04,00,00,0.00233
2016,01,11,04,30,00,-0.00067
2016,01,11,05,00,00,-0.00767
2016,01,11,05,30,00,-0.008
2016,01,11,06,00,00,-0.01
2016,01,11,06,30,00,-0.00621
2016,01,11,07,00,00,0.005
2016,01,11,07,30,00,-0.01733
2016,01,11,08,00,00,0.00133
2016,01,11,08,30,00,-0.00467
2016,01,11,09,00,00,0.316
2016,01,11,09,30,00,4.511
2016,01,11,10,00,00,17.13167
2016,01,11,10,30,00,29.98862
2016,01,11,11,00,00,56.40267
2016,01,11,11,30,00,66.86333
2016,01,11,12,00,00,72.01233
2016,01,11,12,30,00,91.93633
2016,01,11,13,00,00,90.87533
2016,01,11,13,30,00,76.47867
2016,01,11,14,00,00,54.9
2016,01,11,14,30,00,19.63767
2016,01,11,15,00,00,7.846
2016,01,11,15,30,00,1.13767
2016,01,11,16,00,00,-0.00033
2016,01,11,16,30,00,-0.00133
2016,01,11,17,00,00,0.00333
2016,01,11,17,30,00,0.01033
2016,01,11,18,00,00,0.00733
2016,01,11,18,30,00,0.012
2016,01,11,19,00,00,0.00567
2016,01,11,19,30,00,0.00233
2016,01,11,20,00,00,-0.003
2016,01,11,20,30,00,0.003
2016,01,11,21,00,00,-0.00167
2016,01,11,21,30,00,-0.00367
2016,01,11,22,00,00,-0.00233
2016,01,11,22,30,00,0.00033
2016,01,11,23,00,00,0.01
2016,01,11,23,30,00,-0.00533
2016,01,12,00,00,00,-0.01333
2016,01,12,00,30,00,-0.01633
2016,01,12,01,00,00,-0.01367
2016,01,12,01,30,00,-0.01133
2016,01,12,02,00,00,-0.01167
2016,01,12,02,30,00,-0.015
2016,01,12,03,00,00,-0.01167
2016,01,12,03,30,00,-0.00267
2016,01,12,04,00,00,-0.00833
2016,01,12,04,30,00,-0.00667
2016,01,12,05,00,00,-0.00633
2016,01,12,05,30,00,-0.00167
2016,01,12,06,00,00,0.002
2016,01,12,06,30,00,-0.01033
2016,01,12,07,00,00,-0.011
2016,01,12,07,30,00,-0.012
2016,01,12,08,00,00,-0.01167
2016,01,12,08,30,00,-0.00433
2016,01,12,09,00,00,0.77867
2016,01,12,09,30,00,10.23733
2016,01,12,10,00,00,46.334
2016,01,12,10,30,00,70.57533
2016,01,12,11,00,00,89.437
2016,01,12,11,30,00,109.072
2016,01,12,12,00,00,92.00333
2016,01,12,12,30,00,65.972
2016,01,12,13,00,00,39.663
2016,01,12,13,30,00,30.422
2016,01,12,14,00,00,24.66967
2016,01,12,14,30,00,16.09867
2016,01,12,15,00,00,6.76533
2016,01,12,15,30,00,1.032
2016,01,12,16,00,00,0.034
2016,01,12,16,30,00,0.029
2016,01,12,17,00,00,0.01333
2016,01,12,17,30,00,0.00867
2016,01,12,18,00,00,-0.00467
2016,01,12,18,30,00,-0.00067
2016,01,12,19,00,00,0.00733
2016,01,12,19,30,00,-0.00667
2016,01,12,20,00,00,-0.004
2016,01,12,20,30,00,-0.01267
2016,01,12,21,00,00,-0.01033
2016,01,12,21,30,00,-0.01367
2016,01,12,22,00,00,-0.01133
2016,01,12,22,30,00,-0.00233
2016,01,12,23,00,00,0.00467
2016,01,12,23,30,00,-0.00267
2016,01,13,00,00,00,-0.004
2016,01,13,00,30,00,0.00733
2016,01,13,01,00,00,0.004
2016,01,13,01,30,00,0.00933
2016,01,13,02,00,00,0.003
2016,01,13,02,30,00,0.007
2016,01,13,03,00,00,0.004
2016,01,13,03,30,00,0.01033
2016,01,13,04,00,00,-0.00967
2016,01,13,04,30,00,-0.00633
2016,01,13,05,00,00,-0.008
2016,01,13,05,30,00,-0.00333
2016,01,13,06,00,00,-0.00433
2016,01,13,06,30,00,0.00333
2016,01,13,07,00,00,0.00933
2016,01,13,07,30,00,0.00867
2016,01,13,08,00,00,0.00733
2016,01,13,08,30,00,0.01267
2016,01,13,09,00,00,0.708
2016,01,13,09,30,00,7.07333
2016,01,13,10,00,00,22.52
2016,01,13,10,30,00,35.53433
2016,01,13,11,00,00,44.69233
2016,01,13,11,30,00,43.66533
2016,01,13,12,00,00,47.56233
2016,01,13,12,30,00,50
2016,01,13,13,00,00,41.073
2016,01,13,13,30,00,36.82533
2016,01,13,14,00,00,29.92433
2016,01,13,14,30,00,17.66567
2016,01,13,15,00,00,3.99233
2016,01,13,15,30,00,0.43367
2016,01,13,16,00,00,-0.009
2016,01,13,16,30,00,-0.00733
2016,01,13,17,00,00,0.001
2016,01,13,17,30,00,-0.009
2016,01,13,18,00,00,-0.00733
2016,01,13,18,30,00,-0.012
2016,01,13,19,00,00,-0.001
2016,01,13,19,30,00,0.00483
2016,01,13,20,00,00,-0.005
2016,01,13,20,30,00,0.00467
2016,01,13,21,00,00,0.008
2016,01,13,21,30,00,0.002
2016,01,13,22,00,00,-0.00733
2016,01,13,22,30,00,-0.012
2016,01,13,23,00,00,-0.005
2016,01,13,23,30,00,-0.006
2016,01,14,00,00,00,-0
2016,01,14,00,30,00,-0.002
2016,01,14,01,00,00,-0.00667
2016,01,14,01,30,00,0.002
2016,01,14,02,00,00,-0.01033
2016,01,14,02,30,00,-0.002
2016,01,14,03,00,00,-0.00433
2016,01,14,03,30,00,0.006
2016,01,14,04,00,00,0.002
2016,01,14,04,30,00,0.00033
2016,01,14,05,00,00,0.002
2016,01,14,05,30,00,0.00567
2016,01,14,06,00,00,0.00133
2016,01,14,06,30,00,0.00897
2016,01,14,07,00,00,-0.00433
2016,01,14,07,30,00,-0.00467
2016,01,14,08,00,00,-0.002
2016,01,14,08,30,00,-0.003
2016,01,14,09,00,00,2.042
2016,01,14,09,30,00,9.95267
