Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2008,07,12,02,30,00,0.724
2008,07,12,03,00,00,0.98
2008,07,12,03,30,00,1.956
2008,07,12,04,00,00,4.66433
2008,07,12,04,30,00,7.852
2008,07,12,05,00,00,13.598
2008,07,12,05,30,00,11.982
2008,07,12,06,00,00,17.406
2008,07,12,06,30,00,20.526
2008,07,12,07,00,00,53.758
2008,07,12,07,30,00,40.062
2008,07,12,08,00,00,72.96167
2008,07,12,08,30,00,104.32733
2008,07,12,09,00,00,124.80933
2008,07,12,09,30,00,220.53533
2008,07,12,10,00,00,265.46933
2008,07,12,10,30,00,296.76933
2008,07,12,11,00,00,378.974
2008,07,12,11,30,00,302.59533
2008,07,12,12,00,00,586.34733
2008,07,12,12,30,00,657.70067
2008,07,12,13,00,00,532.884
2008,07,12,13,30,00,253.46733
2008,07,12,14,00,00,386.67067
2008,07,12,14,30,00,569.30533
2008,07,12,15,00,00,457.17833
2008,07,12,15,30,00,520.78567
2008,07,12,16,00,00,320.72567
2008,07,12,16,30,00,345.497
2008,07,12,17,00,00,399.34467
2008,07,12,17,30,00,358.61833
2008,07,12,18,00,00,235.43367
2008,07,12,18,30,00,231.80067
2008,07,12,19,00,00,205.91
2008,07,12,19,30,00,133.67467
2008,07,12,20,00,00,48.65467
2008,07,12,20,30,00,9.26067
2008,07,12,21,00,00,4.53533
2008,07,12,21,30,00,3.92467
2008,07,12,22,00,00,2.708
2008,07,12,22,30,00,1.684
2008,07,12,23,00,00,0.836
2008,07,12,23,30,00,-0.428
2008,07,13,00,00,00,-0.974
2008,07,13,00,30,00,-1.71
2008,07,13,01,00,00,-1.438
2008,07,13,01,30,00,-0.958
2008,07,13,02,00,00,-0.19
2008,07,13,02,30,00,0.434
2008,07,13,03,00,00,5.426
2008,07,13,03,30,00,11.298
2008,07,13,04,00,00,15.57
2008,07,13,04,30,00,22.722
2008,07,13,05,00,00,40.23267
2008,07,13,05,30,00,66.508
2008,07,13,06,00,00,125.941
2008,07,13,06,30,00,231.63633
2008,07,13,07,00,00,345.476
2008,07,13,07,30,00,245.02867
2008,07,13,08,00,00,254.18233
2008,07,13,08,30,00,348.42033
2008,07,13,09,00,00,278.73
2008,07,13,09,30,00,343.45967
2008,07,13,10,00,00,376.53633
2008,07,13,10,30,00,341.332
2008,07,13,11,00,00,231.28367
2008,07,13,11,30,00,286.17167
2008,07,13,12,00,00,464.00533
2008,07,13,12,30,00,339.76267
2008,07,13,13,00,00,734.70133
2008,07,13,13,30,00,593.49667
2008,07,13,14,00,00,344.83567
2008,07,13,14,30,00,488.777
2008,07,13,15,00,00,389.69067
2008,07,13,15,30,00,151.28667
2008,07,13,16,00,00,52.19967
2008,07,13,16,30,00,184.44433
2008,07,13,17,00,00,317.968
2008,07,13,17,30,00,283.19567
2008,07,13,18,00,00,141.55833
2008,07,13,18,30,00,56.361
2008,07,13,19,00,00,42.376
2008,07,13,19,30,00,38.83767
2008,07,13,20,00,00,43.448
2008,07,13,20,30,00,30.53
2008,07,13,21,00,00,17.97
2008,07,13,21,30,00,9.89
2008,07,13,22,00,00,4.546
2008,07,13,22,30,00,2.082
2008,07,13,23,00,00,2.146
2008,07,13,23,30,00,1.874
2008,07,14,00,00,00,0.756
2008,07,14,00,30,00,0.692
2008,07,14,01,00,00,0.052
2008,07,14,01,30,00,0.292
2008,07,14,02,00,00,0.5
2008,07,14,02,30,00,1.828
2008,07,14,03,00,00,4.724
2008,07,14,03,30,00,11.604
2008,07,14,04,00,00,29.364
2008,07,14,04,30,00,76.36367
2008,07,14,05,00,00,118.76867
2008,07,14,05,30,00,168.889
2008,07,14,06,00,00,229.842
2008,07,14,06,30,00,285.67533
2008,07,14,07,00,00,345.87667
2008,07,14,07,30,00,408.52567
2008,07,14,08,00,00,467.04733
2008,07,14,08,30,00,532.91233
2008,07,14,09,00,00,538.082
2008,07,14,09,30,00,587.49667
2008,07,14,10,00,00,631.13567
2008,07,14,10,30,00,674.646
2008,07,14,11,00,00,747.64833
2008,07,14,11,30,00,620.47733
2008,07,14,12,00,00,543.24967
2008,07,14,12,30,00,422.78367
2008,07,14,13,00,00,455.07667
2008,07,14,13,30,00,492.69833
2008,07,14,14,00,00,485.97667
2008,07,14,14,30,00,302.44633
2008,07,14,15,00,00,270.585
2008,07,14,15,30,00,298.63733
2008,07,14,16,00,00,286.298
2008,07,14,16,30,00,205.599
2008,07,14,17,00,00,94.01567
2008,07,14,17,30,00,131.79633
2008,07,14,18,00,00,137.829
2008,07,14,18,30,00,69.594
2008,07,14,19,00,00,36.004
2008,07,14,19,30,00,28.836
2008,07,14,20,00,00,19.38
2008,07,14,20,30,00,12.148
2008,07,14,21,00,00,3.38
2008,07,14,21,30,00,0.212
2008,07,14,22,00,00,0.452
2008,07,14,22,30,00,-0.22
2008,07,14,23,00,00,-0.78
2008,07,14,23,30,00,-0.956
2008,07,15,00,00,00,-0.034
2008,07,15,00,30,00,0.51
2008,07,15,01,00,00,0.686
2008,07,15,01,30,00,1.038
2008,07,15,02,00,00,1.294
2008,07,15,02,30,00,1.742
2008,07,15,03,00,00,2.31833
2008,07,15,03,30,00,4.183
2008,07,15,04,00,00,12.184
2008,07,15,04,30,00,13.48
2008,07,15,05,00,00,11.928
2008,07,15,05,30,00,15.256
2008,07,15,06,00,00,48.824
2008,07,15,06,30,00,51.482
2008,07,15,07,00,00,110.387
2008,07,15,07,30,00,145.69067
2008,07,15,08,00,00,138.82467
2008,07,15,08,30,00,328.469
2008,07,15,09,00,00,321.605
2008,07,15,09,30,00,359.163
2008,07,15,10,00,00,353.25833
2008,07,15,10,30,00,396.57667
2008,07,15,11,00,00,668.86
2008,07,15,11,30,00,583.63033
2008,07,15,12,00,00,433.27
2008,07,15,12,30,00,237.07967
2008,07,15,13,00,00,724.19533
2008,07,15,13,30,00,783.534
2008,07,15,14,00,00,650.36067
2008,07,15,14,30,00,574.17333
2008,07,15,15,00,00,278.86133
2008,07,15,15,30,00,354.63433
2008,07,15,16,00,00,332.63133
2008,07,15,16,30,00,372.17433
2008,07,15,17,00,00,232.343
2008,07,15,17,30,00,432.98133
2008,07,15,18,00,00,173.00633
2008,07,15,18,30,00,154.45733
2008,07,15,19,00,00,168.638
2008,07,15,19,30,00,116.869
2008,07,15,20,00,00,41.177
2008,07,15,20,30,00,25.336
2008,07,15,21,00,00,15.416
2008,07,15,21,30,00,5.87767
2008,07,15,22,00,00,0.238
2008,07,15,22,30,00,-0.962
2008,07,15,23,00,00,-1.026
2008,07,15,23,30,00,-1.186
2008,07,16,00,00,00,-0.94
2008,07,16,00,30,00,-0.876
2008,07,16,01,00,00,-0.476
2008,07,16,01,30,00,-0.092
2008,07,16,02,00,00,-0.044
2008,07,16,02,30,00,0.58
2008,07,16,03,00,00,3.076
2008,07,16,03,30,00,10.612
2008,07,16,04,00,00,13.684
2008,07,16,04,30,00,9.812
2008,07,16,05,00,00,14.932
2008,07,16,05,30,00,22.996
2008,07,16,06,00,00,27.444
2008,07,16,06,30,00,48.57033
2008,07,16,07,00,00,66.317
2008,07,16,07,30,00,84.384
2008,07,16,08,00,00,114.03667
2008,07,16,08,30,00,184.35167
2008,07,16,09,00,00,258.57167
2008,07,16,09,30,00,322.02167
2008,07,16,10,00,00,352.89167
2008,07,16,10,30,00,336.66433
2008,07,16,11,00,00,593.39467
2008,07,16,11,30,00,422.213
2008,07,16,12,00,00,205.28367
2008,07,16,12,30,00,144.90533
2008,07,16,13,00,00,111.747
2008,07,16,13,30,00,131.57467
2008,07,16,14,00,00,449.994
2008,07,16,14,30,00,354.108
2008,07,16,15,00,00,496.85167
2008,07,16,15,30,00,493.01
2008,07,16,16,00,00,473.135
2008,07,16,16,30,00,406.75567
2008,07,16,17,00,00,380.76767
2008,07,16,17,30,00,205.47533
2008,07,16,18,00,00,195.68133
2008,07,16,18,30,00,233.57767
2008,07,16,19,00,00,229.384
2008,07,16,19,30,00,122.35833
2008,07,16,20,00,00,60.22133
2008,07,16,20,30,00,35.844
2008,07,16,21,00,00,19.652
2008,07,16,21,30,00,12.404
2008,07,16,22,00,00,3.38
2008,07,16,22,30,00,1.748
2008,07,16,23,00,00,1.396
2008,07,16,23,30,00,-0.284
2008,07,17,00,00,00,-0.34
2008,07,17,00,30,00,0.524
2008,07,17,01,00,00,0.028
2008,07,17,01,30,00,-0.548
2008,07,17,02,00,00,-0.676
2008,07,17,02,30,00,0.22
2008,07,17,03,00,00,3.292
2008,07,17,03,30,00,8.716
2008,07,17,04,00,00,22.709
2008,07,17,04,30,00,40.71
2008,07,17,05,00,00,73.75533
2008,07,17,05,30,00,129.09233
2008,07,17,06,00,00,135.446
2008,07,17,06,30,00,133.73267
2008,07,17,07,00,00,290.671
2008,07,17,07,30,00,403.12133
2008,07,17,08,00,00,325.429
2008,07,17,08,30,00,465.245
2008,07,17,09,00,00,359.675
2008,07,17,09,30,00,460.84333
2008,07,17,10,00,00,508.00333
2008,07,17,10,30,00,371.229
2008,07,17,11,00,00,80.892
2008,07,17,11,30,00,177.581
2008,07,17,12,00,00,163.65867
2008,07,17,12,30,00,176.78
