Year,Month,Day,Hour,Minute,Second,HYY_META.diffGLOB
2008,07,09,23,00,00,2.358
2008,07,09,23,30,00,2.29
2008,07,10,00,00,00,1.42
2008,07,10,00,30,00,1.28267
2008,07,10,01,00,00,1.317
2008,07,10,01,30,00,1.38567
2008,07,10,02,00,00,1.556
2008,07,10,02,30,00,2.44
2008,07,10,03,00,00,4.14
2008,07,10,03,30,00,6.01
2008,07,10,04,00,00,9.92
2008,07,10,04,30,00,23.82333
2008,07,10,05,00,00,34.04433
2008,07,10,05,30,00,35.29633
2008,07,10,06,00,00,42.81
2008,07,10,06,30,00,84.33133
2008,07,10,07,00,00,113.218
2008,07,10,07,30,00,137.69433
2008,07,10,08,00,00,106.198
2008,07,10,08,30,00,85.52133
2008,07,10,09,00,00,116.55833
2008,07,10,09,30,00,105.37367
2008,07,10,10,00,00,189.84367
2008,07,10,10,30,00,230.53767
2008,07,10,11,00,00,327.95696
2008,07,10,11,30,00,328.19964
2008,07,10,12,00,00,268.40767
2008,07,10,12,30,00,348.66733
2008,07,10,13,00,00,358.76467
2008,07,10,13,30,00,326.29967
2008,07,10,14,00,00,286.56667
2008,07,10,14,30,00,208.31367
2008,07,10,15,00,00,253.64033
2008,07,10,15,30,00,257.21577
2008,07,10,16,00,00,178.349
2008,07,10,16,30,00,177.75067
2008,07,10,17,00,00,163.592
2008,07,10,17,30,00,123.23733
2008,07,10,18,00,00,124.12533
2008,07,10,18,30,00,80.24367
2008,07,10,19,00,00,54.10733
2008,07,10,19,30,00,43.38067
2008,07,10,20,00,00,38.707
2008,07,10,20,30,00,24.67033
2008,07,10,21,00,00,11.657
2008,07,10,21,30,00,4.088
2008,07,10,22,00,00,-0.06367
2008,07,10,22,30,00,-2.18
2008,07,10,23,00,00,-2.61633
2008,07,10,23,30,00,-2.50933
2008,07,11,00,00,00,-1.22433
2008,07,11,00,30,00,-1.254
2008,07,11,01,00,00,-1.72533
2008,07,11,01,30,00,-1.41367
2008,07,11,02,00,00,-1.10933
2008,07,11,02,30,00,0.43933
2008,07,11,03,00,00,4.24367
2008,07,11,03,30,00,12.10867
2008,07,11,04,00,00,18.81933
2008,07,11,04,30,00,23.81167
2008,07,11,05,00,00,27.988
2008,07,11,05,30,00,30.662
2008,07,11,06,00,00,32.755
2008,07,11,06,30,00,39.168
2008,07,11,07,00,00,58.961
2008,07,11,07,30,00,198.59
2008,07,11,08,00,00,216.23767
2008,07,11,08,30,00,300.07233
2008,07,11,09,00,00,171.488
2008,07,11,09,30,00,248.03733
2008,07,11,10,00,00,237.09074
2008,07,11,10,30,00,250.07933
2008,07,11,11,00,00,384.75767
2008,07,11,11,30,00,227.909
2008,07,11,12,00,00,113.35
2008,07,11,12,30,00,115.191
2008,07,11,13,00,00,202.32533
2008,07,11,13,30,00,33.74179
2008,07,11,14,00,00,38.86733
2008,07,11,14,30,00,158.773
2008,07,11,15,00,00,228.77448
2008,07,11,15,30,00,147.16
2008,07,11,16,00,00,126.41321
2008,07,11,16,30,00,172.08533
2008,07,11,17,00,00,96.506
2008,07,11,17,30,00,100.995
2008,07,11,18,00,00,43.43733
2008,07,11,18,30,00,17.68276
2008,07,11,19,00,00,17.63733
2008,07,11,19,30,00,27.06767
2008,07,11,20,00,00,29.50967
2008,07,11,20,30,00,29.66967
2008,07,11,21,00,00,13.56267
2008,07,11,21,30,00,7.44967
2008,07,11,22,00,00,3.812
2008,07,11,22,30,00,2.894
2008,07,11,23,00,00,2.418
2008,07,11,23,30,00,2.86
2008,07,12,00,00,00,1.03967
2008,07,12,00,30,00,1.346
2008,07,12,01,00,00,1.516
2008,07,12,01,30,00,1.95833
2008,07,12,02,00,00,2.50633
2008,07,12,02,30,00,3.02133
2008,07,12,03,00,00,3.26
2008,07,12,03,30,00,4.35033
2008,07,12,04,00,00,6.403
2008,07,12,04,30,00,8.86167
2008,07,12,05,00,00,13.71833
2008,07,12,05,30,00,12.62533
2008,07,12,06,00,00,16.798
2008,07,12,06,30,00,19.706
2008,07,12,07,00,00,48.40333
2008,07,12,07,30,00,37.464
2008,07,12,08,00,00,65.887
2008,07,12,08,30,00,94.288
2008,07,12,09,00,00,114.16767
2008,07,12,09,30,00,199.48
2008,07,12,10,00,00,261.01464
2008,07,12,10,30,00,287.18519
2008,07,12,11,00,00,327.06379
2008,07,12,11,30,00,309.6475
2008,07,12,12,00,00,356.04367
2008,07,12,12,30,00,229.223
2008,07,12,13,00,00,243.075
2008,07,12,13,30,00,244.12571
2008,07,12,14,00,00,277.60833
2008,07,12,14,30,00,212.946
2008,07,12,15,00,00,265.711
2008,07,12,15,30,00,232.365
2008,07,12,16,00,00,259.77333
2008,07,12,16,30,00,193.64267
2008,07,12,17,00,00,131.83733
2008,07,12,17,30,00,133.37733
2008,07,12,18,00,00,136.123
2008,07,12,18,30,00,127.69833
2008,07,12,19,00,00,124.932
2008,07,12,19,30,00,103.58833
2008,07,12,20,00,00,47.651
2008,07,12,20,30,00,12.921
2008,07,12,21,00,00,5.59033
2008,07,12,21,30,00,3.708
2008,07,12,22,00,00,2.30033
2008,07,12,22,30,00,-0.91567
2008,07,12,23,00,00,-2.86333
2008,07,12,23,30,00,-2.89567
2008,07,13,00,00,00,0.07633
2008,07,13,00,30,00,0.419
2008,07,13,01,00,00,0.354
2008,07,13,01,30,00,-0.048
2008,07,13,02,00,00,0.325
2008,07,13,02,30,00,2.471
2008,07,13,03,00,00,7.118
2008,07,13,03,30,00,13.13733
2008,07,13,04,00,00,17.62833
2008,07,13,04,30,00,23.91
2008,07,13,05,00,00,39.21833
2008,07,13,05,30,00,63.396
2008,07,13,06,00,00,115.705
2008,07,13,06,30,00,124.20733
2008,07,13,07,00,00,166.963
2008,07,13,07,30,00,190.21222
2008,07,13,08,00,00,228.89433
2008,07,13,08,30,00,241.627
2008,07,13,09,00,00,258.473
2008,07,13,09,30,00,288.42552
2008,07,13,10,00,00,345.72667
2008,07,13,10,30,00,309.10233
2008,07,13,11,00,00,236.49885
2008,07,13,11,30,00,238.51867
2008,07,13,12,00,00,201.48759
2008,07,13,12,30,00,226.09207
2008,07,13,13,00,00,169.787
2008,07,13,13,30,00,218.59467
2008,07,13,14,00,00,203.97172
2008,07,13,14,30,00,206.377
2008,07,13,15,00,00,209.97621
2008,07,13,15,30,00,121.93138
2008,07,13,16,00,00,58.81556
2008,07,13,16,30,00,172.276
2008,07,13,17,00,00,159.66897
2008,07,13,17,30,00,110.472
2008,07,13,18,00,00,105.15967
2008,07,13,18,30,00,62.15533
2008,07,13,19,00,00,42.54967
2008,07,13,19,30,00,39.54567
2008,07,13,20,00,00,40.02967
2008,07,13,20,30,00,30.29767
2008,07,13,21,00,00,16.75833
2008,07,13,21,30,00,11.953
2008,07,13,22,00,00,4.98033
2008,07,13,22,30,00,0.071
2008,07,13,23,00,00,-0.42733
2008,07,13,23,30,00,-0.117
2008,07,14,00,00,00,-1.89
2008,07,14,00,30,00,-0.51867
2008,07,14,01,00,00,-0.58533
2008,07,14,01,30,00,-1.369
2008,07,14,02,00,00,-0.992
2008,07,14,02,30,00,0.719
2008,07,14,03,00,00,4.30433
2008,07,14,03,30,00,10.00467
2008,07,14,04,00,00,19.42567
2008,07,14,04,30,00,32.00467
2008,07,14,05,00,00,37.53433
2008,07,14,05,30,00,47.87633
2008,07,14,06,00,00,52.655
2008,07,14,06,30,00,51.81967
2008,07,14,07,00,00,53.238
2008,07,14,07,30,00,57.259
2008,07,14,08,00,00,63.39767
2008,07,14,08,30,00,75.02033
2008,07,14,09,00,00,100.65967
2008,07,14,09,30,00,111.31433
2008,07,14,10,00,00,147.13433
2008,07,14,10,30,00,172.095
2008,07,14,11,00,00,212.56367
2008,07,14,11,30,00,220.18633
2008,07,14,12,00,00,290.531
2008,07,14,12,30,00,364.85867
2008,07,14,13,00,00,375.88767
2008,07,14,13,30,00,350.743
2008,07,14,14,00,00,343.698
2008,07,14,14,30,00,253.77889
2008,07,14,15,00,00,255.698
2008,07,14,15,30,00,274.84533
2008,07,14,16,00,00,261.95833
2008,07,14,16,30,00,204.25833
2008,07,14,17,00,00,97.0987
2008,07,14,17,30,00,129.52933
2008,07,14,18,00,00,141.60133
2008,07,14,18,30,00,76.48833
2008,07,14,19,00,00,40.66267
2008,07,14,19,30,00,31.85133
2008,07,14,20,00,00,21.53233
2008,07,14,20,30,00,14.59233
2008,07,14,21,00,00,6.453
2008,07,14,21,30,00,0.42767
2008,07,14,22,00,00,1.22033
2008,07,14,22,30,00,1.976
2008,07,14,23,00,00,2.01
2008,07,14,23,30,00,1.84
2008,07,15,00,00,00,0.112
2008,07,15,00,30,00,0.146
2008,07,15,01,00,00,0.418
2008,07,15,01,30,00,1.19633
2008,07,15,02,00,00,1.87
2008,07,15,02,30,00,1.769
2008,07,15,03,00,00,1.938
2008,07,15,03,30,00,3.602
2008,07,15,04,00,00,10.139
2008,07,15,04,30,00,12.07067
2008,07,15,05,00,00,11.22467
2008,07,15,05,30,00,14.535
2008,07,15,06,00,00,43.08133
2008,07,15,06,30,00,45.75567
2008,07,15,07,00,00,97.81033
2008,07,15,07,30,00,126.60933
2008,07,15,08,00,00,126.42567
2008,07,15,08,30,00,275.28133
2008,07,15,09,00,00,284.54679
2008,07,15,09,30,00,296.36862
2008,07,15,10,00,00,299.25556
2008,07,15,10,30,00,268.177
2008,07,15,11,00,00,268.70767
2008,07,15,11,30,00,302.84733
2008,07,15,12,00,00,270.25933
2008,07,15,12,30,00,193.35769
2008,07,15,13,00,00,123.7
2008,07,15,13,30,00,150.568
2008,07,15,14,00,00,131.23467
2008,07,15,14,30,00,167.99633
2008,07,15,15,00,00,232.44074
2008,07,15,15,30,00,229.67367
2008,07,15,16,00,00,207.69333
2008,07,15,16,30,00,128.22333
2008,07,15,17,00,00,125.09467
2008,07,15,17,30,00,141.51833
2008,07,15,18,00,00,108.248
2008,07,15,18,30,00,105.32167
2008,07,15,19,00,00,47.63667
2008,07,15,19,30,00,33.45033
2008,07,15,20,00,00,24.088
2008,07,15,20,30,00,22.21
2008,07,15,21,00,00,14.05667
2008,07,15,21,30,00,6.30467
2008,07,15,22,00,00,1.36
2008,07,15,22,30,00,-0.102
2008,07,15,23,00,00,-1.326
2008,07,15,23,30,00,-1.66333
2008,07,16,00,00,00,-1.588
2008,07,16,00,30,00,-1.58733
2008,07,16,01,00,00,0.86267
2008,07,16,01,30,00,2.00433
2008,07,16,02,00,00,2.273
2008,07,16,02,30,00,2.20467
2008,07,16,03,00,00,3.878
2008,07,16,03,30,00,10.853
2008,07,16,04,00,00,14.14033
2008,07,16,04,30,00,10.385
2008,07,16,05,00,00,15.351
2008,07,16,05,30,00,22.202
2008,07,16,06,00,00,26.47133
2008,07,16,06,30,00,44.684
2008,07,16,07,00,00,60.40667
2008,07,16,07,30,00,77.699
2008,07,16,08,00,00,105.43467
2008,07,16,08,30,00,171.10533
2008,07,16,09,00,00,222.37857
2008,07,16,09,30,00,267.64435
2008,07,16,10,00,00,306.64478
2008,07,16,10,30,00,266.50733
2008,07,16,11,00,00,283.686
