Year,Month,Day,Hour,Minute,Second,HYY_META.diffPAR
2019,01,10,08,00,00,0
2019,01,10,08,30,00,0
2019,01,10,09,00,00,0.441
2019,01,10,09,30,00,6.118
2019,01,10,10,00,00,20.1505
2019,01,10,10,30,00,30.64817
2019,01,10,11,00,00,32.82706
2019,01,10,11,30,00,47.68661
2019,01,10,12,00,00,50.97567
2019,01,10,12,30,00,50.30561
2019,01,10,13,00,00,50.561
2019,01,10,13,30,00,47.35978
2019,01,10,14,00,00,23.32439
2019,01,10,14,30,00,11.36106
2019,01,10,15,00,00,3.06072
2019,01,10,15,30,00,0
2019,01,10,16,00,00,0
2019,01,10,16,30,00,0
2019,01,10,17,00,00,0
2019,01,10,17,30,00,0
2019,01,10,18,00,00,0
2019,01,10,18,30,00,0
2019,01,10,19,00,00,0
2019,01,10,19,30,00,0
2019,01,10,20,00,00,0
2019,01,10,20,30,00,0
2019,01,10,21,00,00,0
2019,01,10,21,30,00,0
2019,01,10,22,00,00,0
2019,01,10,22,30,00,0
2019,01,10,23,00,00,0
2019,01,10,23,30,00,0
2019,01,11,00,00,00,0
2019,01,11,00,30,00,0
2019,01,11,01,00,00,0
2019,01,11,01,30,00,0
2019,01,11,02,00,00,0
2019,01,11,02,30,00,0
2019,01,11,03,00,00,0
2019,01,11,03,30,00,0
2019,01,11,04,00,00,0
2019,01,11,04,30,00,0
2019,01,11,05,00,00,0
2019,01,11,05,30,00,0
2019,01,11,06,00,00,0
2019,01,11,06,30,00,0
2019,01,11,07,00,00,0
2019,01,11,07,30,00,0
2019,01,11,08,00,00,0
2019,01,11,08,30,00,0
2019,01,11,09,00,00,1.31572
2019,01,11,09,30,00,11.40183
2019,01,11,10,00,00,30.36267
2019,01,11,10,30,00,50.39133
2019,01,11,11,00,00,62.41678
2019,01,11,11,30,00,72.41094
2019,01,11,12,00,00,126.59395
2019,01,11,12,30,00,88.95245
2019,01,11,13,00,00,84.02911
2019,01,11,13,30,00,70.55394
2019,01,11,14,00,00,54.92394
2019,01,11,14,30,00,36.74033
2019,01,11,15,00,00,12.15483
2019,01,11,15,30,00,1.95383
2019,01,11,16,00,00,0
2019,01,11,16,30,00,0
2019,01,11,17,00,00,0
2019,01,11,17,30,00,0
2019,01,11,18,00,00,0
2019,01,11,18,30,00,0
2019,01,11,19,00,00,0
2019,01,11,19,30,00,0
2019,01,11,20,00,00,0
2019,01,11,20,30,00,0
2019,01,11,21,00,00,0
2019,01,11,21,30,00,0
2019,01,11,22,00,00,0
2019,01,11,22,30,00,0
2019,01,11,23,00,00,0
2019,01,11,23,30,00,0
