Year,Month,Day,Hour,Minute,Second,HYY_EDDYMAST.u_star_270
2019,01,15,03,00,00,0.41054
2019,01,15,03,30,00,0.39611
2019,01,15,04,00,00,0.51684
2019,01,15,04,30,00,0.51204
2019,01,15,05,00,00,0.45447
2019,01,15,05,30,00,0.60425
2019,01,15,06,00,00,0.6244
2019,01,15,06,30,00,0.59317
2019,01,15,07,00,00,0.58516
2019,01,15,07,30,00,0.68944
2019,01,15,08,00,00,0.60243
2019,01,15,08,30,00,0.57963
2019,01,15,09,00,00,0.5505
2019,01,15,09,30,00,0.55139
2019,01,15,10,00,00,0.585
2019,01,15,10,30,00,0.66989
2019,01,15,11,00,00,0.68812
2019,01,15,11,30,00,0.57023
2019,01,15,12,00,00,0.59437
2019,01,15,12,30,00,0.63122
2019,01,15,13,00,00,0.5236
2019,01,15,13,30,00,0.56606
2019,01,15,14,00,00,0.58065
2019,01,15,14,30,00,0.56334
2019,01,15,15,00,00,0.57707
2019,01,15,15,30,00,0.48734
2019,01,15,16,00,00,0.58517
2019,01,15,16,30,00,0.55245
2019,01,15,17,00,00,0.62613
2019,01,15,17,30,00,0.66953
2019,01,15,18,00,00,0.64947
2019,01,15,18,30,00,0.61268
2019,01,15,19,00,00,0.62235
2019,01,15,19,30,00,NaN
2019,01,15,20,00,00,0.4904
2019,01,15,20,30,00,NaN
2019,01,15,21,00,00,0.70694
2019,01,15,21,30,00,0.70047
2019,01,15,22,00,00,0.65836
2019,01,15,22,30,00,0.66532
2019,01,15,23,00,00,0.68335
2019,01,15,23,30,00,0.72613
2019,01,16,00,00,00,0.58392
2019,01,16,00,30,00,0.42587
2019,01,16,01,00,00,0.36062
2019,01,16,01,30,00,NaN
2019,01,16,02,00,00,NaN
2019,01,16,02,30,00,NaN
2019,01,16,03,00,00,0.62532
2019,01,16,03,30,00,0.52074
2019,01,16,04,00,00,0.61707
2019,01,16,04,30,00,0.51724
2019,01,16,05,00,00,0.51301
2019,01,16,05,30,00,0.5478
2019,01,16,06,00,00,0.442
2019,01,16,06,30,00,0.56533
2019,01,16,07,00,00,0.55393
2019,01,16,07,30,00,0.46155
2019,01,16,08,00,00,0.47573
2019,01,16,08,30,00,0.52779
2019,01,16,09,00,00,0.39284
2019,01,16,09,30,00,0.4687
2019,01,16,10,00,00,0.43408
2019,01,16,10,30,00,0.45117
2019,01,16,11,00,00,0.38018
2019,01,16,11,30,00,0.35049
2019,01,16,12,00,00,0.40055
2019,01,16,12,30,00,0.36754
2019,01,16,13,00,00,0.37447
2019,01,16,13,30,00,0.34821
2019,01,16,14,00,00,0.38286
2019,01,16,14,30,00,0.3316
2019,01,16,15,00,00,0.23582
2019,01,16,15,30,00,0.34734
2019,01,16,16,00,00,0.42749
2019,01,16,16,30,00,0.40241
2019,01,16,17,00,00,0.33812
2019,01,16,17,30,00,0.21326
2019,01,16,18,00,00,0.12928
2019,01,16,18,30,00,NaN
2019,01,16,19,00,00,NaN
2019,01,16,19,30,00,NaN
2019,01,16,20,00,00,NaN
2019,01,16,20,30,00,NaN
2019,01,16,21,00,00,NaN
2019,01,16,21,30,00,NaN
2019,01,16,22,00,00,NaN
2019,01,16,22,30,00,NaN
2019,01,16,23,00,00,NaN
2019,01,16,23,30,00,NaN
2019,01,17,00,00,00,NaN
2019,01,17,00,30,00,NaN
2019,01,17,01,00,00,NaN
2019,01,17,01,30,00,NaN
2019,01,17,02,00,00,NaN
2019,01,17,02,30,00,NaN
2019,01,17,03,00,00,NaN
2019,01,17,03,30,00,NaN
2019,01,17,04,00,00,NaN
2019,01,17,04,30,00,NaN
2019,01,17,05,00,00,NaN
2019,01,17,05,30,00,NaN
2019,01,17,06,00,00,NaN
2019,01,17,06,30,00,NaN
2019,01,17,07,00,00,NaN
2019,01,17,07,30,00,NaN
2019,01,17,08,00,00,NaN
2019,01,17,08,30,00,NaN
2019,01,17,09,00,00,NaN
2019,01,17,09,30,00,NaN
2019,01,17,10,00,00,NaN
2019,01,17,10,30,00,NaN
