Year,Month,Day,Hour,Minute,Second,HYY_META.tsoil_A
2019,01,14,01,00,00,1.26
2019,01,14,01,30,00,1.261
2019,01,14,02,00,00,1.261
2019,01,14,02,30,00,1.2585
2019,01,14,03,00,00,1.261
2019,01,14,03,30,00,1.2535
2019,01,14,04,00,00,1.2565
2019,01,14,04,30,00,1.2525
2019,01,14,05,00,00,1.252
2019,01,14,05,30,00,1.255
2019,01,14,06,00,00,1.254
2019,01,14,06,30,00,1.2475
2019,01,14,07,00,00,1.2535
2019,01,14,07,30,00,1.249
2019,01,14,08,00,00,1.2475
2019,01,14,08,30,00,1.246
2019,01,14,09,00,00,1.2465
2019,01,14,09,30,00,1.2475
2019,01,14,10,00,00,1.245
2019,01,14,10,30,00,1.255
2019,01,14,11,00,00,1.257
2019,01,14,11,30,00,1.2625
2019,01,14,12,00,00,1.269
2019,01,14,12,30,00,1.2745
2019,01,14,13,00,00,1.269
2019,01,14,13,30,00,1.2735
2019,01,14,14,00,00,1.27
2019,01,14,14,30,00,1.271
2019,01,14,15,00,00,1.2735
2019,01,14,15,30,00,1.275
2019,01,14,16,00,00,1.279
2019,01,14,16,30,00,1.2785
2019,01,14,17,00,00,1.28
2019,01,14,17,30,00,1.2885
2019,01,14,18,00,00,1.287
2019,01,14,18,30,00,1.2875
2019,01,14,19,00,00,1.286
2019,01,14,19,30,00,1.285
2019,01,14,20,00,00,1.285
2019,01,14,20,30,00,1.285
2019,01,14,21,00,00,1.287
2019,01,14,21,30,00,1.291
2019,01,14,22,00,00,1.291
2019,01,14,22,30,00,1.2925
2019,01,14,23,00,00,1.296
2019,01,14,23,30,00,1.2935
2019,01,15,00,00,00,1.297
2019,01,15,00,30,00,1.301
2019,01,15,01,00,00,1.2995
2019,01,15,01,30,00,1.2985
2019,01,15,02,00,00,1.301
2019,01,15,02,30,00,1.3065
2019,01,15,03,00,00,1.31
2019,01,15,03,30,00,1.3155
2019,01,15,04,00,00,1.3165
2019,01,15,04,30,00,1.3165
2019,01,15,05,00,00,1.3135
2019,01,15,05,30,00,1.3155
2019,01,15,06,00,00,1.313
2019,01,15,06,30,00,1.3115
2019,01,15,07,00,00,1.3065
2019,01,15,07,30,00,1.301
2019,01,15,08,00,00,1.3085
2019,01,15,08,30,00,1.305
2019,01,15,09,00,00,1.3075
2019,01,15,09,30,00,1.301
2019,01,15,10,00,00,1.3
2019,01,15,10,30,00,1.3025
2019,01,15,11,00,00,1.304
2019,01,15,11,30,00,1.309
2019,01,15,12,00,00,1.305
