Year,Month,Day,Hour,Minute,Second,HYY_META.PAR2
2019,01,09,15,30,00,0.356
2019,01,09,16,00,00,0
2019,01,09,16,30,00,0
2019,01,09,17,00,00,0
2019,01,09,17,30,00,0
2019,01,09,18,00,00,0
2019,01,09,18,30,00,0
2019,01,09,19,00,00,0
2019,01,09,19,30,00,0
2019,01,09,20,00,00,0
2019,01,09,20,30,00,0
2019,01,09,21,00,00,0
2019,01,09,21,30,00,0
2019,01,09,22,00,00,0
2019,01,09,22,30,00,0
2019,01,09,23,00,00,0
2019,01,09,23,30,00,0
2019,01,10,00,00,00,0
2019,01,10,00,30,00,0
2019,01,10,01,00,00,0
2019,01,10,01,30,00,0
2019,01,10,02,00,00,0
2019,01,10,02,30,00,0
2019,01,10,03,00,00,0
2019,01,10,03,30,00,0
2019,01,10,04,00,00,0
2019,01,10,04,30,00,0
2019,01,10,05,00,00,0
2019,01,10,05,30,00,0
2019,01,10,06,00,00,0
2019,01,10,06,30,00,0
2019,01,10,07,00,00,0
2019,01,10,07,30,00,0
2019,01,10,08,00,00,0
2019,01,10,08,30,00,0
2019,01,10,09,00,00,0.56928
2019,01,10,09,30,00,6.34767
2019,01,10,10,00,00,20.16389
2019,01,10,10,30,00,30.64817
2019,01,10,11,00,00,32.82706
2019,01,10,11,30,00,47.68661
2019,01,10,12,00,00,50.97567
2019,01,10,12,30,00,50.30561
2019,01,10,13,00,00,50.561
2019,01,10,13,30,00,47.35978
2019,01,10,14,00,00,23.32922
2019,01,10,14,30,00,11.47578
2019,01,10,15,00,00,3.33594
2019,01,10,15,30,00,0.00067
2019,01,10,16,00,00,0
2019,01,10,16,30,00,0
2019,01,10,17,00,00,0
2019,01,10,17,30,00,0
2019,01,10,18,00,00,0
2019,01,10,18,30,00,0
2019,01,10,19,00,00,0
2019,01,10,19,30,00,0
2019,01,10,20,00,00,0
2019,01,10,20,30,00,0
2019,01,10,21,00,00,0
2019,01,10,21,30,00,0
2019,01,10,22,00,00,0
2019,01,10,22,30,00,0
2019,01,10,23,00,00,0
2019,01,10,23,30,00,0
2019,01,11,00,00,00,0
2019,01,11,00,30,00,0
2019,01,11,01,00,00,0
2019,01,11,01,30,00,0
2019,01,11,02,00,00,0
2019,01,11,02,30,00,0
2019,01,11,03,00,00,0
2019,01,11,03,30,00,0
2019,01,11,04,00,00,0
2019,01,11,04,30,00,0
2019,01,11,05,00,00,0
2019,01,11,05,30,00,0
2019,01,11,06,00,00,0
2019,01,11,06,30,00,0
2019,01,11,07,00,00,0
2019,01,11,07,30,00,0
2019,01,11,08,00,00,0
2019,01,11,08,30,00,0
2019,01,11,09,00,00,1.49022
2019,01,11,09,30,00,11.55339
2019,01,11,10,00,00,33.25728
2019,01,11,10,30,00,71.84067
2019,01,11,11,00,00,99.76899
2019,01,11,11,30,00,122.99877
2019,01,11,12,00,00,183.23177
2019,01,11,12,30,00,114.11578
2019,01,11,13,00,00,108.74505
2019,01,11,13,30,00,77.43866
2019,01,11,14,00,00,54.94717
2019,01,11,14,30,00,36.74539
2019,01,11,15,00,00,12.30394
2019,01,11,15,30,00,2.15867
2019,01,11,16,00,00,0
2019,01,11,16,30,00,0
2019,01,11,17,00,00,0
2019,01,11,17,30,00,0
2019,01,11,18,00,00,0
2019,01,11,18,30,00,0
2019,01,11,19,00,00,0
2019,01,11,19,30,00,0
2019,01,11,20,00,00,0
2019,01,11,20,30,00,0
2019,01,11,21,00,00,0
2019,01,11,21,30,00,0
2019,01,11,22,00,00,0
2019,01,11,22,30,00,0
2019,01,11,23,00,00,0
2019,01,11,23,30,00,0
2019,01,12,00,00,00,0
2019,01,12,00,30,00,0
2019,01,12,01,00,00,0
2019,01,12,01,30,00,0
2019,01,12,02,00,00,0
2019,01,12,02,30,00,0
2019,01,12,03,00,00,0
2019,01,12,03,30,00,0
2019,01,12,04,00,00,0
2019,01,12,04,30,00,0
2019,01,12,05,00,00,0
2019,01,12,05,30,00,0
2019,01,12,06,00,00,0
2019,01,12,06,30,00,0
2019,01,12,07,00,00,0
2019,01,12,07,30,00,0
2019,01,12,08,00,00,0
2019,01,12,08,30,00,0
2019,01,12,09,00,00,2.35728
2019,01,12,09,30,00,16.89983
2019,01,12,10,00,00,43.618
2019,01,12,10,30,00,73.73711
2019,01,12,11,00,00,103.74966
2019,01,12,11,30,00,122.13873
2019,01,12,12,00,00,140.03589
2019,01,12,12,30,00,142.7894
2019,01,12,13,00,00,130.28834
2019,01,12,13,30,00,107.59368
2019,01,12,14,00,00,53.38506
2019,01,12,14,30,00,29.43889
2019,01,12,15,00,00,12.932
2019,01,12,15,30,00,2.02972
2019,01,12,16,00,00,0
2019,01,12,16,30,00,0
2019,01,12,17,00,00,0
2019,01,12,17,30,00,0
2019,01,12,18,00,00,0
2019,01,12,18,30,00,0
2019,01,12,19,00,00,0
2019,01,12,19,30,00,0
2019,01,12,20,00,00,0
2019,01,12,20,30,00,0
2019,01,12,21,00,00,0
2019,01,12,21,30,00,0
2019,01,12,22,00,00,0
2019,01,12,22,30,00,0
2019,01,12,23,00,00,0
2019,01,12,23,30,00,0
2019,01,13,00,00,00,0
2019,01,13,00,30,00,0
2019,01,13,01,00,00,0
2019,01,13,01,30,00,0
2019,01,13,02,00,00,0
2019,01,13,02,30,00,0
2019,01,13,03,00,00,0
2019,01,13,03,30,00,0
2019,01,13,04,00,00,0
2019,01,13,04,30,00,0
2019,01,13,05,00,00,0
2019,01,13,05,30,00,0
2019,01,13,06,00,00,0
2019,01,13,06,30,00,0
2019,01,13,07,00,00,0
2019,01,13,07,30,00,0
2019,01,13,08,00,00,0
2019,01,13,08,30,00,0
2019,01,13,09,00,00,2.43806
2019,01,13,09,30,00,16.82028
2019,01,13,10,00,00,58.90556
2019,01,13,10,30,00,87.56861
2019,01,13,11,00,00,111.95078
2019,01,13,11,30,00,116.05138
2019,01,13,12,00,00,88.21622
2019,01,13,12,30,00,87.744
2019,01,13,13,00,00,71.80294
2019,01,13,13,30,00,68.12894
2019,01,13,14,00,00,40.66944
2019,01,13,14,30,00,26.86745
2019,01,13,15,00,00,8.31128
2019,01,13,15,30,00,0.81683
2019,01,13,16,00,00,0
2019,01,13,16,30,00,0
2019,01,13,17,00,00,0
2019,01,13,17,30,00,0
2019,01,13,18,00,00,0
2019,01,13,18,30,00,0
2019,01,13,19,00,00,0
2019,01,13,19,30,00,0
2019,01,13,20,00,00,0
2019,01,13,20,30,00,0
2019,01,13,21,00,00,0
2019,01,13,21,30,00,0
2019,01,13,22,00,00,0
2019,01,13,22,30,00,0
2019,01,13,23,00,00,0
2019,01,13,23,30,00,0
2019,01,14,00,00,00,0
2019,01,14,00,30,00,0
2019,01,14,01,00,00,0
2019,01,14,01,30,00,0
2019,01,14,02,00,00,0
2019,01,14,02,30,00,0
2019,01,14,03,00,00,0
2019,01,14,03,30,00,0
2019,01,14,04,00,00,0
2019,01,14,04,30,00,0
2019,01,14,05,00,00,0
2019,01,14,05,30,00,0
2019,01,14,06,00,00,0
2019,01,14,06,30,00,0
2019,01,14,07,00,00,0
2019,01,14,07,30,00,0
2019,01,14,08,00,00,0
2019,01,14,08,30,00,0
2019,01,14,09,00,00,0.52217
2019,01,14,09,30,00,3.9965
2019,01,14,10,00,00,15.23633
2019,01,14,10,30,00,36.40094
2019,01,14,11,00,00,62.85472
2019,01,14,11,30,00,84.75272
2019,01,14,12,00,00,109.67739
2019,01,14,12,30,00,64.15156
2019,01,14,13,00,00,55.08356
2019,01,14,13,30,00,39.82522
2019,01,14,14,00,00,27.48128
2019,01,14,14,30,00,17.36345
2019,01,14,15,00,00,10.96672
