Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2019,01,09,16,00,00,98.925
2019,01,09,16,30,00,98.84883
2019,01,09,17,00,00,98.62342
2019,01,09,17,30,00,98.693
2019,01,09,18,00,00,98.59089
2019,01,09,18,30,00,98.40547
2019,01,09,19,00,00,98.064
2019,01,09,19,30,00,97.7555
2019,01,09,20,00,00,97.72964
2019,01,09,20,30,00,97.77256
2019,01,09,21,00,00,97.75844
2019,01,09,21,30,00,97.53883
2019,01,09,22,00,00,97.39456
2019,01,09,22,30,00,97.35614
2019,01,09,23,00,00,97.24094
2019,01,09,23,30,00,97.22414
2019,01,10,00,00,00,96.77939
2019,01,10,00,30,00,96.69608
2019,01,10,01,00,00,96.40908
2019,01,10,01,30,00,96.48328
2019,01,10,02,00,00,96.40317
2019,01,10,02,30,00,96.36744
2019,01,10,03,00,00,96.37142
2019,01,10,03,30,00,96.31131
2019,01,10,04,00,00,96.13392
2019,01,10,04,30,00,96.099
2019,01,10,05,00,00,96.01267
2019,01,10,05,30,00,95.96683
2019,01,10,06,00,00,95.89944
2019,01,10,06,30,00,95.77261
2019,01,10,07,00,00,95.72528
2019,01,10,07,30,00,95.71136
2019,01,10,08,00,00,95.49133
2019,01,10,08,30,00,95.51639
2019,01,10,09,00,00,95.35803
2019,01,10,09,30,00,95.21631
2019,01,10,10,00,00,95.10333
2019,01,10,10,30,00,94.96517
2019,01,10,11,00,00,94.86708
2019,01,10,11,30,00,94.95917
2019,01,10,12,00,00,94.90242
2019,01,10,12,30,00,94.62583
2019,01,10,13,00,00,95.011
2019,01,10,13,30,00,95.28606
2019,01,10,14,00,00,95.50258
2019,01,10,14,30,00,95.57522
2019,01,10,15,00,00,95.60044
2019,01,10,15,30,00,95.65006
2019,01,10,16,00,00,95.58561
2019,01,10,16,30,00,95.57569
2019,01,10,17,00,00,95.5927
2019,01,10,17,30,00,95.63242
2019,01,10,18,00,00,95.79342
2019,01,10,18,30,00,95.93481
2019,01,10,19,00,00,96.16855
2019,01,10,19,30,00,96.30183
2019,01,10,20,00,00,96.64786
2019,01,10,20,30,00,96.9643
2019,01,10,21,00,00,97.36897
2019,01,10,21,30,00,97.88322
2019,01,10,22,00,00,98.48878
2019,01,10,22,30,00,98.99067
2019,01,10,23,00,00,99.36592
2019,01,10,23,30,00,99.659
2019,01,11,00,00,00,99.8385
2019,01,11,00,30,00,99.96894
2019,01,11,01,00,00,100
2019,01,11,01,30,00,100
2019,01,11,02,00,00,100
2019,01,11,02,30,00,100
2019,01,11,03,00,00,100
2019,01,11,03,30,00,100
2019,01,11,04,00,00,100
2019,01,11,04,30,00,100
